accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,deviceID
1888,-756,210,-58,-7,-2,10003
1893,-763,209,-52,1,0,10003
1897,-764,219,-46,3,-11,10003
1880,-760,205,-47,1,0,10003
1876,-763,212,-47,-6,4,10003
1885,-763,218,-39,-1,6,10003
1873,-750,204,-44,0,8,10003
1878,-748,212,-44,-4,12,10003
1876,-758,211,-40,-6,15,10003
1876,-748,221,-47,-8,-1,10003
1881,-753,201,-38,-8,12,10003
1873,-759,202,-46,4,17,10003
1882,-761,214,-46,-10,11,10003
1892,-760,195,-40,-17,8,10003
1884,-755,210,-33,-12,2,10003
1886,-758,207,-33,-14,14,10003
1887,-756,198,-37,-12,15,10003
1882,-756,211,-30,-6,13,10003
1874,-753,219,-24,-13,15,10003
1872,-743,205,-24,-5,15,10003
1882,-757,191,-14,-19,16,10003
1878,-749,221,-18,-25,17,10003
1879,-752,201,-13,-16,18,10003
1884,-755,198,-23,-14,14,10003
1893,-749,207,-12,-10,7,10003
1886,-744,215,-17,-9,21,10003
1880,-756,203,-22,-7,6,10003
1883,-756,200,-27,-13,8,10003
1875,-750,201,-27,-12,14,10003
1889,-747,213,-20,-16,7,10003
1883,-746,212,-29,-19,7,10003
1886,-753,197,-24,-10,1,10003
1889,-758,208,-30,-9,17,10003
1876,-752,201,-18,-11,22,10003
1889,-754,198,-25,0,14,10003
1887,-739,210,-21,3,25,10003
1884,-746,192,-38,-4,26,10003
1879,-754,198,-32,-15,24,10003
1888,-747,199,-42,-10,25,10003
1886,-741,196,-35,-4,21,10003
1889,-747,205,-43,-5,24,10003
1889,-749,200,-44,-7,16,10003
1891,-746,201,-45,4,19,10003
1897,-750,203,-48,-1,16,10003
1881,-747,198,-46,1,17,10003
1889,-747,224,-60,-3,16,10003
1891,-755,214,-51,7,11,10003
1887,-755,196,-53,5,21,10003
1880,-754,200,-49,5,24,10003
1884,-759,205,-48,2,15,10003
1877,-751,210,-44,1,15,10003
1884,-751,197,-47,4,24,10003
1889,-751,207,-55,5,26,10003
1885,-752,200,-53,3,15,10003
1896,-742,203,-54,2,27,10003
1882,-754,207,-50,12,15,10003
1898,-756,201,-55,9,11,10003
1889,-750,208,-47,4,19,10003
1886,-759,208,-53,11,17,10003
1887,-752,199,-46,5,8,10003
1876,-753,201,-39,7,10,10003
1882,-756,202,-39,10,14,10003
1892,-758,194,-37,10,12,10003
1884,-751,212,-38,14,15,10003
1876,-758,201,-36,2,9,10003
1889,-763,224,-38,5,12,10003
1890,-757,198,-29,9,11,10003
