accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,deviceID
1804,-973,375,28,144,330,10003
1801,-985,359,33,154,360,10003
1803,-981,372,34,150,379,10003
1801,-974,386,41,164,412,10003
1818,-986,387,31,168,451,10003
1810,-1002,403,36,183,480,10003
1819,-1053,410,51,206,526,10003
1833,-1074,414,69,224,605,10003
1846,-1075,421,87,239,673,10003
1860,-1085,419,93,288,763,10003
1874,-1093,404,79,314,871,10003
1883,-1109,412,74,349,974,10003
1885,-1128,439,99,395,1098,10003
1908,-1164,448,127,448,1265,10003
1934,-1200,465,156,511,1426,10003
1940,-1240,476,175,593,1590,10003
1959,-1282,474,222,686,1782,10003
1961,-1355,477,329,782,1957,10003
1965,-1452,500,519,853,2126,10003
1970,-1474,514,742,917,2346,10003
1969,-1510,539,995,1027,2544,10003
1970,-1556,555,1248,1115,2758,10003
1998,-1659,593,1558,1238,2965,10003
2005,-1772,621,1990,1336,3175,10003
2048,-1828,674,2445,1454,3437,10003
2077,-1818,725,2749,1672,3703,10003
1992,-1849,783,3027,1849,3882,10003
1969,-1830,846,3285,2029,4076,10003
1959,-1855,935,3467,2266,4248,10003
1911,-1878,995,3652,2493,4402,10003
1876,-1834,1034,3745,2732,4535,10003
1767,-1817,1103,3746,2945,4705,10003
1712,-1848,1137,3662,3130,4893,10003
1667,-1954,1147,3646,3341,5052,10003
1588,-1969,1220,3716,3509,5115,10003
1514,-1992,1297,3816,3667,5237,10003
1442,-1911,1345,3779,3814,5349,10003
1364,-1793,1415,3520,3989,5486,10003
1287,-1744,1464,3103,4189,5600,10003
1208,-1753,1488,2814,4386,5710,10003
1074,-1778,1475,2587,4508,5839,10003
974,-1781,1511,2453,4626,5967,10003
902,-1809,1548,2365,4750,6125,10003
833,-1882,1525,2288,4849,6274,10003
753,-1833,1505,2257,4901,6407,10003
673,-1789,1472,2279,4966,6558,10003
574,-1732,1445,2234,5004,6685,10003
485,-1605,1444,2242,5034,6758,10003
387,-1559,1497,2178,5099,6857,10003
303,-1536,1478,2047,5103,6952,10003
233,-1463,1542,1991,5148,7015,10003
155,-1426,1481,1800,5168,7109,10003
69,-1206,1442,1602,5153,7112,10003
-40,-1002,1473,1379,5200,7155,10003
-139,-978,1426,955,5223,7230,10003
-256,-945,1380,714,5192,7268,10003
-347,-979,1347,581,5130,7331,10003
-445,-952,1384,537,5077,7411,10003
-566,-919,1261,464,4882,7497,10003
-608,-889,1285,592,4807,7541,10003
-693,-1077,1287,740,4702,7696,10003
-777,-1066,1218,964,4525,7786,10003
-899,-889,1142,1360,4323,7772,10003
-959,-816,1184,1771,4234,7798,10003
-1040,-813,1088,1804,4069,7861,10003
-1107,-714,1040,2074,3950,7810,10003
-1223,-610,951,2239,3767,7766,10003
-1271,-611,930,2473,3639,7669,10003
-1345,-555,843,2584,3475,7591,10003
-1388,-625,870,2891,3343,7473,10003
-1422,-636,865,3174,3242,7398,10003
-1509,-530,874,3559,3107,7256,10003
-1544,-393,849,3946,2970,7082,10003
-1518,-270,872,4218,2893,6945,10003
-1457,14,876,4313,2850,6818,10003
-1422,244,866,4265,2805,6760,10003
-1471,311,868,4287,2807,6680,10003
-1591,344,839,4420,2727,6530,10003
-1651,323,791,4613,2610,6355,10003
-1687,331,723,4830,2445,6253,10003
-1782,444,627,4749,2354,6088,10003
-1845,651,497,4402,2217,5961,10003
-1865,642,475,3793,2108,5913,10003
-1865,580,556,3199,2037,5925,10003
-1866,532,586,2757,1945,5987,10003
-1824,609,704,2382,1883,6071,10003
-1784,696,840,2003,1851,6208,10003
-1729,686,891,1717,1871,6306,10003
-1687,644,948,1806,1843,6314,10003
-1587,766,887,2053,1751,6235,10003
-1507,970,787,2170,1612,6151,10003
-1417,1123,623,2143,1479,5998,10003
-1326,1144,520,2226,1258,5815,10003
-1221,1216,562,2319,1087,5631,10003
-1139,1340,663,2277,975,5370,10003
-1065,1440,791,2089,901,5051,10003
-996,1546,794,1805,858,4674,10003
-982,1571,697,1449,824,4284,10003
-860,1654,692,947,745,3909,10003
-764,1862,773,-190,803,3715,10003
-874,1886,718,-1538,953,3507,10003
-1010,1759,609,-2458,917,3308,10003
-1061,1625,595,-2983,879,3166,10003
-1120,1426,594,-3126,860,3060,10003
-1170,1149,811,-2706,768,2928,10003
-1098,932,722,-1744,542,2747,10003
-1100,1048,666,-653,376,2730,10003
-1138,1337,532,-38,193,2861,10003
-1082,1483,512,6,133,2841,10003
-1022,1666,553,-208,140,2744,10003
-954,1840,646,-684,219,2638,10003
-911,2022,732,-1410,363,2501,10003
-902,1993,714,-2178,555,2330,10003
-911,1850,702,-2791,690,2159,10003
-979,1765,668,-3223,752,2040,10003
-1005,1686,565,-3374,718,1935,10003
-918,1454,657,-2902,710,1817,10003
-864,1011,640,-1586,640,1665,10003
-854,755,601,134,442,1490,10003
-814,883,451,1763,131,1367,10003
-587,1262,357,2617,-57,1229,10003
-464,1517,353,2599,-7,1009,10003
-404,1610,413,2152,73,720,10003
-376,1487,386,1880,120,349,10003
-413,1395,345,1631,78,9,10003
-427,1447,304,1318,-11,-249,10003
-418,1407,265,933,-88,-408,10003
-477,1326,279,577,-197,-465,10003
-532,1320,320,389,-299,-565,10003
-536,1327,418,446,-291,-781,10003
-546,1432,592,534,-248,-948,10003
-532,1657,823,484,-69,-1057,10003
-572,1789,918,386,241,-1183,10003
-697,1692,877,383,561,-1354,10003
-876,1530,796,537,731,-1492,10003
-988,1557,688,723,812,-1552,10003
-1044,1703,561,898,856,-1586,10003
-1055,1815,502,907,892,-1615,10003
-1098,1901,476,807,901,-1603,10003
-1179,1923,431,699,897,-1601,10003
-1226,1869,382,616,838,-1573,10003
-1226,1869,402,501,770,-1551,10003
-1191,1899,373,327,697,-1495,10003
-1185,1939,391,140,644,-1426,10003
-1199,1944,396,-57,600,-1366,10003
-1234,1918,395,-198,540,-1341,10003
-1254,1877,401,-314,458,-1306,10003
-1269,1824,407,-401,392,-1260,10003
-1290,1763,407,-406,346,-1198,10003
-1320,1676,432,-277,297,-1129,10003
-1366,1621,446,-105,227,-1057,10003
-1361,1635,470,79,165,-1008,10003
-1355,1649,444,234,118,-965,10003
-1352,1632,403,447,71,-976,10003
-1332,1641,383,573,-27,-940,10003
-1259,1687,390,733,-55,-978,10003
-1253,1698,385,665,-34,-894,10003
-1292,1737,385,444,-34,-904,10003
-1339,1679,369,247,-26,-897,10003
-1352,1616,367,87,-48,-861,10003
-1351,1574,378,0,-81,-848,10003
-1352,1566,363,-56,-79,-811,10003
-1348,1559,361,-87,-110,-786,10003
-1342,1520,328,-52,-166,-805,10003
-1298,1513,279,79,-254,-888,10003
-1235,1529,308,302,-333,-993,10003
-1178,1597,343,464,-436,-1093,10003
-1208,1613,348,616,-491,-1117,10003
-1298,1586,331,416,-539,-1060,10003
-1357,1561,367,52,-515,-1014,10003
-1390,1506,420,-394,-470,-928,10003
-1391,1450,445,-671,-424,-899,10003
-1369,1431,479,-833,-381,-874,10003
-1437,1460,488,-928,-315,-832,10003
-1420,1501,491,-1052,-266,-816,10003
-1385,1522,575,-1194,-222,-796,10003
-1294,1493,578,-1300,-160,-736,10003
-1287,1480,604,-1347,-102,-686,10003
-1348,1502,591,-1444,-66,-679,10003
-1412,1532,551,-1709,-36,-697,10003
-1475,1507,508,-2014,-43,-728,10003
-1478,1403,500,-2200,-66,-729,10003
-1466,1292,536,-2050,-109,-764,10003
-1498,1239,567,-1679,-185,-739,10003
-1526,1237,672,-1144,-272,-764,10003
-1451,1198,783,-614,-326,-800,10003
-1413,1298,829,-144,-344,-903,10003
-1422,1551,710,-79,-330,-940,10003
-1495,1826,572,-607,-328,-969,10003
-1504,1970,480,-1609,-338,-868,10003
-1423,1974,418,-2871,-273,-655,10003
-1334,1510,573,-3692,-57,-569,10003
-1335,814,945,-3539,205,-558,10003
-1504,255,1239,-2474,346,-442,10003
-1612,249,1377,-1331,395,-251,10003
-1590,728,1271,-729,526,-109,10003
-1507,1266,1027,-868,811,-12,10003
-1498,1612,831,-1412,1023,-28,10003
-1505,1704,664,-1884,1118,-116,10003
-1485,1552,579,-1885,1114,-265,10003
-1539,1347,509,-1471,965,-374,10003
-1619,1288,431,-867,720,-455,10003
-1601,1280,603,-484,496,-416,10003
-1582,1292,653,-445,341,-369,10003
-1593,1378,710,-554,282,-420,10003
-1604,1371,736,-782,215,-431,10003
-1636,1317,774,-956,168,-417,10003
-1637,1298,739,-1124,134,-383,10003
-1634,1194,792,-1113,108,-345,10003
-1639,1008,824,-859,47,-271,10003
-1646,944,883,-438,-41,-205,10003
-1598,1073,1002,-194,-88,-155,10003
-1568,1182,1017,-148,-81,-88,10003
-1586,1250,982,-173,-65,-103,10003
-1580,1229,930,-244,-95,-121,10003
-1572,1219,859,-347,-89,-149,10003
-1567,1203,830,-540,-113,-163,10003
-1554,1102,785,-535,-141,-186,10003
-1542,957,754,-307,-206,-185,10003
-1563,936,777,42,-294,-186,10003
-1511,932,803,317,-362,-154,10003
-1483,992,813,496,-362,-128,10003
-1499,1008,857,676,-366,-152,10003
-1484,1056,875,790,-345,-173,10003
-1511,1273,761,638,-333,-164,10003
-1503,1375,783,370,-273,-199,10003
-1474,1271,830,162,-238,-233,10003
-1514,1237,777,24,-303,-246,10003
-1511,1548,660,-335,-365,-268,10003
-1491,1634,599,-1039,-313,-246,10003
-1510,1352,749,-1737,-185,-151,10003
-1548,832,927,-1813,-152,-161,10003
-1562,824,963,-1487,-139,-150,10003
-1591,960,1016,-1397,-28,-1,10003
-1576,981,1049,-1480,89,31,10003
-1558,1104,1007,-1439,177,8,10003
-1570,1350,915,-1560,243,6,10003
-1568,1484,872,-1857,297,-48,10003
-1562,1405,854,-2005,339,-161,10003
-1566,1274,839,-1895,321,-224,10003
-1581,1117,883,-1525,252,-329,10003
-1637,1104,844,-1233,159,-326,10003
-1652,971,851,-901,92,-337,10003
-1592,781,959,-500,-4,-316,10003
-1542,781,1039,-181,14,-239,10003
-1565,934,1117,-161,68,-162,10003
-1543,1037,1173,-358,130,-134,10003
-1526,1034,1155,-530,216,-140,10003
-1558,970,1135,-380,250,-207,10003
-1578,1044,1056,-95,194,-273,10003
-1587,1129,943,71,116,-279,10003
-1612,1025,881,274,59,-302,10003
-1623,1008,918,440,-10,-252,10003
-1667,1078,944,468,-87,-238,10003
-1635,1066,919,494,-145,-257,10003
-1610,963,963,738,-195,-271,10003
-1593,875,963,1097,-270,-296,10003
-1587,888,939,1290,-316,-266,10003
-1586,949,899,1311,-358,-303,10003
-1556,944,881,1122,-349,-303,10003
-1562,942,804,873,-351,-262,10003
-1608,950,752,600,-375,-197,10003
-1610,871,740,375,-393,-114,10003
-1577,758,758,395,-447,-68,10003
-1562,764,766,477,-497,5,10003
-1536,885,784,619,-497,12,10003
-1536,1021,791,666,-534,-29,10003
-1514,1190,871,544,-547,-8,10003
-1470,1197,931,310,-543,-20,10003
-1465,1274,886,7,-514,-82,10003
-1501,1578,871,-655,-447,-147,10003
-1560,1626,795,-1634,-358,-126,10003
-1507,1268,938,-2457,-214,-96,10003
-1438,841,1102,-2501,-96,-95,10003
-1519,732,1129,-2169,2,-64,10003
-1571,801,1119,-1757,51,-59,10003
-1568,819,1124,-1423,91,-73,10003
-1544,838,1159,-1158,116,-87,10003
-1570,983,1155,-946,128,-169,10003
-1567,1152,1120,-906,142,-263,10003
-1560,1237,1062,-996,148,-369,10003
-1554,1134,1036,-1063,118,-456,10003
-1556,928,1007,-985,41,-506,10003
-1564,806,1022,-788,-53,-530,10003
-1545,751,1010,-603,-150,-541,10003
-1546,733,1055,-458,-210,-544,10003
-1519,752,1068,-391,-259,-547,10003
-1482,778,1092,-381,-286,-603,10003
-1508,789,1096,-393,-272,-625,10003
-1559,841,1104,-384,-250,-697,10003
-1559,853,1101,-359,-259,-746,10003
-1521,851,1132,-292,-256,-795,10003
-1519,775,1145,-167,-252,-831,10003
-1525,722,1144,48,-297,-880,10003
-1545,733,1144,269,-330,-942,10003
-1512,702,1101,536,-394,-1065,10003
-1474,738,1115,704,-456,-1137,10003
-1469,834,1067,750,-503,-1226,10003
-1491,838,1044,774,-565,-1367,10003
-1506,751,991,934,-625,-1488,10003
-1531,658,949,1198,-732,-1576,10003
-1524,621,901,1420,-838,-1621,10003
-1511,674,910,1505,-910,-1680,10003
-1531,742,913,1450,-995,-1766,10003
-1534,781,862,1346,-1132,-1919,10003
-1484,753,750,1328,-1311,-2067,10003
-1478,703,676,1319,-1512,-2154,10003
-1473,660,658,1217,-1721,-2225,10003
-1445,671,736,915,-1897,-2224,10003
-1455,744,817,388,-2060,-2251,10003
-1430,792,889,-302,-2158,-2371,10003
-1354,766,973,-1040,-2216,-2506,10003
-1333,702,1029,-1679,-2232,-2684,10003
-1344,620,1058,-2177,-2288,-2878,10003
-1314,529,1073,-2495,-2357,-3131,10003
-1297,471,1081,-2706,-2420,-3408,10003
-1284,441,1081,-2846,-2515,-3693,10003
-1244,383,1085,-2940,-2624,-3941,10003
-1233,291,1109,-3013,-2697,-4178,10003
-1247,210,1155,-2960,-2766,-4439,10003
-1250,142,1212,-2860,-2857,-4674,10003
-1240,84,1233,-2754,-2936,-4880,10003
-1238,75,1248,-2679,-2983,-5105,10003
-1255,63,1285,-2627,-3040,-5327,10003
-1276,22,1344,-2577,-3100,-5570,10003
-1280,10,1361,-2591,-3171,-5782,10003
-1222,-28,1403,-2617,-3193,-5967,10003
-1192,-105,1472,-2693,-3239,-6121,10003
-1120,-303,1600,-2681,-3203,-6211,10003
-1075,-462,1672,-2732,-3152,-6234,10003
-1063,-516,1718,-2694,-3069,-6259,10003
-1066,-536,1753,-2673,-2951,-6302,10003
-1071,-541,1688,-2601,-2876,-6357,10003
-1055,-575,1619,-2522,-2832,-6428,10003
-1036,-554,1600,-2419,-2801,-6517,10003
-1002,-566,1679,-2282,-2794,-6559,10003
-931,-649,1613,-2410,-2785,-6475,10003
-874,-663,1538,-2545,-2744,-6489,10003
-835,-667,1555,-2596,-2698,-6562,10003
-782,-733,1606,-2603,-2622,-6600,10003
-715,-793,1590,-2707,-2561,-6588,10003
-661,-729,1540,-2724,-2539,-6690,10003
-638,-663,1538,-2603,-2460,-6813,10003
-565,-713,1495,-2592,-2432,-6928,10003
-499,-760,1491,-2457,-2429,-7015,10003
-417,-873,1447,-2206,-2486,-7083,10003
-351,-1027,1492,-1729,-2503,-7116,10003
-302,-1240,1441,-1198,-2637,-7070,10003
-261,-1387,1402,-599,-2814,-7021,10003
-229,-1444,1404,136,-3073,-6941,10003
-174,-1418,1351,756,-3370,-6838,10003
-108,-1283,1265,1385,-3748,-6804,10003
22,-1298,1325,2048,-4077,-6699,10003
167,-1453,1389,2414,-4354,-6441,10003
265,-1409,1424,2589,-4705,-6219,10003
395,-1239,1613,2838,-4902,-6060,10003
526,-1325,1709,2782,-5034,-5814,10003
629,-1289,1728,2505,-5179,-5613,10003
707,-1013,1711,2175,-5331,-5559,10003
874,-859,1812,1795,-5295,-5492,10003
1019,-850,1783,1190,-5280,-5372,10003
1199,-812,1876,615,-5191,-5277,10003
1380,-925,1954,127,-4969,-5084,10003
1462,-979,1892,-583,-4824,-4894,10003
1518,-820,1946,-1159,-4607,-4810,10003
1591,-949,1966,-1696,-4301,-4648,10003
1648,-1121,1888,-2299,-4075,-4512,10003
1644,-1118,1829,-2673,-3874,-4485,10003
1680,-1189,1797,-2889,-3642,-4378,10003
1710,-1223,1711,-3184,-3463,-4260,10003
1704,-1125,1639,-3438,-3324,-4173,10003
1688,-1048,1560,-3679,-3172,-4101,10003
1678,-1028,1456,-3922,-3053,-4055,10003
1670,-1027,1381,-4058,-2991,-4055,10003
1690,-1028,1318,-4123,-2916,-4034,10003
1755,-1088,1299,-4118,-2817,-3990,10003
1835,-1226,1293,-3964,-2692,-3905,10003
1891,-1368,1280,-3718,-2586,-3807,10003
1938,-1404,1254,-3431,-2503,-3687,10003
1951,-1352,1205,-3193,-2427,-3558,10003
1956,-1228,1173,-3096,-2359,-3436,10003
1960,-1099,1098,-3151,-2295,-3320,10003
1979,-996,1033,-3310,-2214,-3203,10003
1989,-956,976,-3518,-2105,-3068,10003
2010,-925,935,-3737,-2019,-2921,10003
2014,-880,881,-3973,-1920,-2770,10003
2027,-835,833,-4221,-1827,-2629,10003
2045,-811,796,-4530,-1694,-2501,10003
2059,-794,729,-4850,-1558,-2380,10003
2146,-870,880,-5141,-1286,-2219,10003
2086,-879,758,-5315,-1125,-2143,10003
2081,-922,713,-5452,-966,-2007,10003
2091,-1024,714,-5374,-779,-1843,10003
2082,-1117,665,-5177,-623,-1670,10003
2042,-1154,614,-4868,-504,-1495,10003
2021,-1181,587,-4495,-419,-1312,10003
1998,-1211,553,-4029,-359,-1119,10003
1979,-1222,563,-3508,-316,-948,10003
1972,-1225,557,-2929,-275,-771,10003
1934,-1214,558,-2339,-267,-600,10003
1923,-1184,550,-1775,-264,-450,10003
1912,-1137,548,-1270,-271,-289,10003
1908,-1088,549,-838,-281,-165,10003
1895,-1046,558,-475,-292,-55,10003
1896,-1002,551,-187,-300,36,10003
1891,-963,549,40,-292,117,10003
1879,-932,549,191,-298,181,10003
1866,-906,546,294,-282,254,10003
1861,-882,553,340,-279,290,10003
1861,-863,536,352,-245,334,10003
1857,-870,532,350,-229,371,10003
1845,-871,532,341,-210,395,10003
1844,-868,523,343,-194,432,10003
1839,-856,508,357,-198,450,10003
1839,-847,497,362,-191,468,10003
1843,-837,495,368,-200,491,10003
1840,-832,485,396,-204,517,10003
1836,-836,457,411,-227,540,10003
1839,-845,460,462,-244,565,10003
1841,-845,438,516,-267,568,10003
1851,-836,418,582,-289,582,10003
1843,-847,405,668,-317,597,10003
1834,-849,406,772,-347,610,10003
1827,-843,399,864,-388,617,10003
1815,-842,396,980,-421,625,10003
1814,-838,392,1084,-451,625,10003
1812,-828,386,1193,-482,629,10003
1818,-820,380,1287,-516,626,10003
1818,-813,385,1387,-531,611,10003
1814,-807,380,1474,-548,599,10003
1817,-796,372,1539,-570,584,10003
1813,-779,372,1588,-570,554,10003
1829,-768,373,1603,-587,528,10003
1835,-745,373,1629,-572,483,10003
1838,-702,411,1618,-555,416,10003
1841,-636,445,1540,-519,345,10003
1852,-545,468,1352,-457,281,10003
1866,-458,492,1063,-376,189,10003
1889,-418,512,695,-273,116,10003
1896,-420,512,330,-168,36,10003
1905,-447,514,13,-60,-18,10003
1900,-482,492,-243,25,-73,10003
1895,-542,485,-387,96,-101,10003
1886,-609,464,-447,121,-146,10003
1888,-664,443,-425,127,-165,10003
1887,-693,427,-389,115,-180,10003
1890,-697,414,-348,98,-185,10003
1902,-711,401,-323,76,-182,10003
1913,-711,389,-323,58,-170,10003
1893,-725,384,-341,43,-141,10003
1893,-735,390,-339,21,-134,10003
1885,-737,381,-353,-10,-103,10003
1878,-745,377,-360,-20,-93,10003
1873,-750,386,-368,-29,-76,10003
1866,-766,367,-381,-57,-70,10003
1852,-763,395,-397,-59,-79,10003
1843,-762,377,-415,-83,-77,10003
1826,-771,381,-417,-87,-75,10003
1827,-784,381,-429,-102,-80,10003
1811,-785,399,-424,-100,-88,10003
1805,-794,418,-409,-88,-92,10003
1808,-796,422,-376,-86,-112,10003
1807,-796,425,-352,-83,-98,10003
1813,-791,430,-354,-71,-106,10003
1818,-787,428,-370,-59,-112,10003
1831,-804,431,-374,-48,-123,10003
1832,-812,434,-370,-47,-109,10003
1844,-817,430,-354,-31,-115,10003
1850,-823,441,-349,-22,-105,10003
1842,-818,436,-348,6,-101,10003
1841,-825,442,-356,13,-96,10003
1842,-814,430,-373,26,-82,10003
1856,-821,437,-376,40,-70,10003
1847,-828,433,-387,43,-51,10003
1856,-826,438,-371,58,-31,10003
1877,-839,425,-354,59,-3,10003
1879,-837,421,-302,60,8,10003
1871,-840,419,-245,61,21,10003
1863,-831,418,-183,42,43,10003
1863,-812,414,-137,41,53,10003
1851,-805,403,-92,23,58,10003
1852,-792,424,-63,8,56,10003
1847,-784,421,-42,3,49,10003
1833,-784,421,-19,-20,26,10003
1824,-766,415,-9,-27,20,10003
1808,-767,425,4,-35,3,10003
1803,-766,413,8,-48,-21,10003
1802,-768,437,18,-58,-45,10003
1800,-784,439,28,-73,-57,10003
1813,-799,434,44,-69,-76,10003
1824,-809,421,72,-76,-85,10003
1821,-811,417,103,-72,-91,10003
1840,-813,411,136,-70,-84,10003
1854,-815,407,153,-67,-85,10003
1861,-815,390,166,-59,-67,10003
1864,-817,379,194,-45,-54,10003
1869,-826,389,214,-45,-30,10003
1874,-814,396,209,-22,-14,10003
1873,-796,388,216,-25,14,10003
1860,-785,372,209,-12,38,10003
1858,-787,382,203,-4,44,10003
1863,-782,385,191,-12,64,10003
1858,-769,394,183,-3,63,10003
1854,-766,393,159,-7,71,10003
1855,-766,393,136,-3,59,10003
1847,-765,392,123,2,49,10003
1832,-753,386,106,-5,46,10003
1841,-760,381,106,-11,29,10003
1835,-762,393,110,-17,24,10003
1835,-753,394,121,-40,20,10003
1837,-746,387,123,-52,4,10003
1839,-746,401,132,-61,-12,10003
1834,-750,403,119,-69,-16,10003
1844,-756,422,128,-64,-33,10003
1839,-755,407,123,-76,-47,10003
1851,-761,404,124,-77,-55,10003
1853,-757,403,123,-85,-64,10003
1855,-752,395,122,-82,-59,10003
1856,-752,399,125,-86,-55,10003
1851,-751,416,122,-93,-51,10003
1859,-763,401,134,-89,-35,10003
1868,-762,411,137,-87,-29,10003
1870,-765,406,136,-85,-15,10003
1873,-767,410,133,-83,-3,10003
1878,-755,396,130,-72,0,10003
1880,-752,401,120,-72,18,10003
1875,-741,379,104,-66,32,10003
1886,-732,384,87,-78,45,10003
1889,-733,385,79,-81,49,10003
1880,-734,376,50,-78,51,10003
1863,-725,389,37,-81,44,10003
1873,-723,378,20,-89,47,10003
1875,-726,382,3,-95,32,10003
1866,-720,402,-21,-94,17,10003
1866,-727,399,-46,-101,2,10003
1875,-731,394,-65,-100,-14,10003
1869,-745,392,-67,-117,-41,10003
1870,-752,397,-56,-106,-62,10003
1859,-759,398,-50,-111,-73,10003
1856,-759,392,-35,-109,-86,10003
1843,-767,397,-8,-117,-102,10003
1832,-770,389,8,-118,-106,10003
1832,-764,399,25,-124,-102,10003
1830,-776,389,45,-123,-101,10003
1829,-770,385,52,-126,-104,10003
1827,-775,397,67,-124,-109,10003
1825,-779,404,73,-126,-112,10003
1839,-780,405,88,-110,-101,10003
1844,-764,402,80,-108,-92,10003
1853,-771,390,62,-93,-89,10003
1861,-765,382,40,-72,-72,10003
1851,-775,391,28,-82,-65,10003
1856,-766,375,13,-56,-43,10003
1863,-770,369,9,-62,-26,10003
1861,-769,390,4,-54,-12,10003
1863,-760,375,-4,-52,-1,10003
1865,-754,383,-11,-50,20,10003
1869,-757,372,-14,-53,11,10003
1878,-746,363,-31,-52,17,10003
1882,-736,372,-29,-54,26,10003
1879,-723,362,-58,-55,26,10003
1877,-716,358,-69,-59,34,10003
1883,-722,371,-90,-70,32,10003
1892,-721,372,-92,-82,21,10003
1896,-715,365,-89,-90,17,10003
1890,-713,348,-100,-88,20,10003
1888,-709,353,-109,-102,2,10003
1892,-720,351,-87,-105,-4,10003
1884,-718,350,-65,-114,-14,10003
1880,-705,368,-45,-127,-23,10003
1875,-700,365,-56,-141,-29,10003
1873,-696,361,-79,-152,-49,10003
1871,-701,352,-109,-161,-50,10003
1884,-703,372,-138,-157,-61,10003
1887,-710,370,-152,-155,-64,10003
1879,-717,368,-170,-156,-78,10003
1881,-722,342,-172,-160,-93,10003
1899,-722,364,-194,-154,-81,10003
1888,-737,356,-191,-154,-96,10003
1883,-756,339,-162,-163,-98,10003
1888,-745,348,-129,-152,-100,10003
1892,-735,334,-126,-159,-93,10003
1885,-732,331,-136,-149,-82,10003
1893,-741,338,-142,-141,-86,10003
1882,-742,339,-154,-126,-87,10003
1887,-748,338,-160,-127,-68,10003
1882,-742,336,-175,-132,-72,10003
1891,-738,312,-182,-125,-58,10003
1893,-733,324,-199,-111,-49,10003
1889,-742,319,-199,-114,-45,10003
1890,-737,319,-207,-109,-42,10003
1898,-732,324,-192,-107,-44,10003
1889,-733,324,-184,-103,-55,10003
1884,-737,329,-165,-107,-49,10003
1876,-732,310,-139,-106,-43,10003
1866,-727,313,-110,-108,-46,10003
1867,-711,327,-92,-121,-46,10003
1866,-719,331,-60,-126,-48,10003
1876,-723,316,-46,-134,-46,10003
1879,-716,318,-44,-133,-47,10003
1884,-717,324,-41,-136,-43,10003
1875,-720,319,-32,-129,-49,10003
1878,-726,313,-12,-136,-49,10003
1871,-730,308,-7,-137,-49,10003
1880,-736,314,34,-140,-63,10003
1879,-725,317,56,-138,-53,10003
1871,-723,298,63,-145,-48,10003
1871,-733,301,67,-147,-47,10003
1860,-735,296,78,-140,-57,10003
1873,-736,302,100,-161,-45,10003
1879,-735,303,107,-156,-44,10003
1882,-732,290,106,-155,-40,10003
1883,-741,318,121,-141,-49,10003
1892,-735,303,122,-143,-40,10003
1892,-721,286,107,-124,-34,10003
1897,-727,293,84,-114,-25,10003
1887,-728,288,74,-113,-30,10003
1895,-741,283,81,-105,-9,10003
1882,-729,288,75,-112,11,10003
1894,-723,279,94,-105,14,10003
1897,-723,282,87,-105,24,10003
1907,-717,291,107,-109,25,10003
1903,-708,286,107,-115,34,10003
1915,-717,294,117,-112,34,10003
1912,-718,293,130,-107,25,10003
1910,-706,304,155,-100,21,10003
1918,-693,291,154,-99,10,10003
1917,-694,302,149,-77,5,10003
1916,-691,294,144,-67,8,10003
1910,-693,281,146,-54,0,10003
1903,-706,276,136,-45,13,10003
1908,-691,292,171,-36,12,10003
1912,-678,281,161,-32,28,10003
1912,-678,289,136,-11,46,10003
1900,-668,268,109,-3,66,10003
1894,-683,261,81,7,76,10003
1886,-673,274,70,1,89,10003
1887,-675,263,41,4,83,10003
1875,-657,264,9,3,94,10003
1875,-672,264,-32,6,94,10003
1878,-665,263,-64,-7,85,10003
1872,-667,260,-78,6,62,10003
1870,-670,270,-89,-2,63,10003
1876,-678,260,-104,3,51,10003
1878,-693,252,-145,2,38,10003
1873,-678,260,-144,15,25,10003
1884,-696,261,-175,16,33,10003
1892,-682,253,-185,17,31,10003
1886,-714,262,-198,24,21,10003
1892,-715,268,-182,38,29,10003
1904,-725,255,-183,39,39,10003
1905,-722,260,-184,45,55,10003
1909,-708,255,-196,33,58,10003
1920,-706,262,-216,45,71,10003
1920,-706,270,-235,47,85,10003
1922,-711,270,-247,61,95,10003
1927,-708,276,-250,59,103,10003
1929,-703,270,-245,61,98,10003
1931,-700,265,-251,74,109,10003
1915,-695,270,-267,82,107,10003
1901,-681,269,-279,80,122,10003
1892,-674,291,-305,85,119,10003
1884,-674,266,-324,87,122,10003
1883,-685,269,-354,87,119,10003
1884,-688,251,-360,81,115,10003
1884,-679,243,-375,89,113,10003
1873,-693,254,-398,74,112,10003
1868,-705,255,-413,73,105,10003
1883,-697,263,-432,67,91,10003
1877,-687,261,-480,67,94,10003
1870,-707,267,-521,59,82,10003
1880,-743,272,-525,73,57,10003
1871,-748,254,-523,51,61,10003
1875,-746,269,-530,42,34,10003
1890,-746,270,-519,27,10,10003
1891,-749,276,-529,30,1,10003
1896,-769,289,-528,14,-16,10003
1894,-776,313,-509,23,-31,10003
1886,-769,322,-492,42,-42,10003
1891,-760,321,-509,59,-43,10003
1885,-766,331,-513,68,-49,10003
1886,-788,322,-530,101,-49,10003
1887,-794,321,-516,106,-53,10003
1885,-801,321,-503,112,-45,10003
1881,-815,312,-460,116,-18,10003
1883,-823,311,-418,121,-4,10003
1884,-832,316,-344,104,17,10003
1889,-811,299,-260,93,32,10003
1893,-810,295,-181,94,42,10003
1897,-816,295,-101,95,47,10003
